BEGIN STREAM 0
Template: query96.tpl
	__LIMITA.01 = 
	ZIP.192 = 17350
	ZIP.193 = 83670
	ZIP.194 = 58885
	ZIP.195 = 75919
	ZIP.196 = 45354
	ZIP.197 = 91040
	ZIP.198 = 32252
	ZIP.199 = 97406
	ZIP.200 = 21049
	ZIP.201 = 37167
	ZIP.202 = 88901
	ZIP.203 = 76466
	ZIP.204 = 29801
	ZIP.205 = 86572
	ZIP.206 = 98173
	ZIP.207 = 12544
	ZIP.208 = 72863
	ZIP.209 = 13359
	ZIP.210 = 19505
	ZIP.211 = 27259
	ZIP.212 = 29532
	ZIP.213 = 60164
	ZIP.214 = 75492
	ZIP.215 = 19175
	ZIP.216 = 28800
	ZIP.217 = 47548
	ZIP.218 = 43234
	ZIP.219 = 48177
	ZIP.220 = 61036
	ZIP.221 = 30729
	ZIP.222 = 15745
	ZIP.223 = 50098
	ZIP.224 = 33937
	ZIP.225 = 96255
	ZIP.226 = 56659
	ZIP.227 = 44650
	ZIP.228 = 97147
	ZIP.229 = 40361
	ZIP.230 = 72807
	ZIP.231 = 11234
	ZIP.232 = 17282
	ZIP.233 = 93192
	ZIP.234 = 92436
	ZIP.235 = 44706
	ZIP.236 = 35482
	ZIP.237 = 22786
	ZIP.238 = 52547
	ZIP.239 = 18833
	ZIP.240 = 40663
	ZIP.241 = 18380
	ZIP.242 = 77526
	ZIP.243 = 91316
	ZIP.244 = 36114
	ZIP.245 = 66159
	ZIP.246 = 68574
	ZIP.247 = 52079
	ZIP.248 = 71888
	ZIP.249 = 35094
	ZIP.250 = 60112
	ZIP.251 = 32748
	ZIP.252 = 69518
	ZIP.253 = 43398
	ZIP.254 = 26844
	ZIP.255 = 93974
	ZIP.256 = 54677
	ZIP.257 = 46177
	ZIP.258 = 62869
	ZIP.259 = 87434
	ZIP.260 = 38960
	ZIP.261 = 76659
	ZIP.262 = 66726
	ZIP.263 = 63517
	ZIP.264 = 90546
	ZIP.265 = 85094
	ZIP.266 = 13879
	ZIP.267 = 38595
	ZIP.268 = 84214
	ZIP.269 = 38187
	ZIP.270 = 63955
	ZIP.271 = 71799
	ZIP.272 = 27410
	ZIP.273 = 52554
	ZIP.274 = 30692
	ZIP.275 = 21909
	ZIP.276 = 41063
	ZIP.277 = 95080
	ZIP.278 = 34422
	ZIP.279 = 38829
	ZIP.280 = 66753
	ZIP.281 = 17169
	ZIP.282 = 75088
	ZIP.283 = 92024
	ZIP.284 = 79808
	ZIP.285 = 80539
	ZIP.286 = 28803
	ZIP.287 = 28847
	ZIP.288 = 26462
	ZIP.289 = 46385
	ZIP.290 = 52351
	ZIP.291 = 42891
	ZIP.292 = 82226
	ZIP.293 = 30676
	ZIP.294 = 41115
	ZIP.295 = 44307
	ZIP.296 = 79016
	ZIP.297 = 15962
	ZIP.298 = 26215
	ZIP.299 = 40985
	ZIP.300 = 31652
	ZIP.301 = 96293
	ZIP.302 = 34907
	ZIP.303 = 44873
	ZIP.304 = 15145
	ZIP.305 = 96226
	ZIP.306 = 21444
	ZIP.307 = 67090
	ZIP.308 = 63657
	ZIP.309 = 33481
	ZIP.310 = 95377
	ZIP.311 = 11785
	ZIP.312 = 12154
	ZIP.313 = 77623
	ZIP.314 = 52839
	ZIP.315 = 31294
	ZIP.316 = 86611
	ZIP.317 = 33232
	ZIP.318 = 25364
	ZIP.319 = 71375
	ZIP.320 = 17821
	ZIP.321 = 57170
	ZIP.322 = 44127
	ZIP.323 = 34084
	ZIP.324 = 51050
	ZIP.325 = 82712
	ZIP.326 = 89184
	ZIP.327 = 84580
	ZIP.328 = 24670
	ZIP.329 = 77497
	ZIP.330 = 77144
	ZIP.331 = 57802
	ZIP.332 = 15565
	ZIP.333 = 80939
	ZIP.334 = 38607
	ZIP.335 = 92162
	ZIP.336 = 65826
	ZIP.337 = 55590
	ZIP.338 = 68326
	ZIP.339 = 88942
	ZIP.340 = 40201
	ZIP.341 = 83549
	ZIP.342 = 26026
	ZIP.343 = 30146
	ZIP.344 = 29992
	ZIP.345 = 24237
	ZIP.346 = 98908
	ZIP.347 = 66819
	ZIP.348 = 32931
	ZIP.349 = 50107
	ZIP.350 = 23460
	ZIP.351 = 47523
	ZIP.352 = 25963
	ZIP.353 = 61802
	ZIP.354 = 49317
	ZIP.355 = 42134
	ZIP.356 = 48466
	ZIP.357 = 66372
	ZIP.358 = 89375
	ZIP.359 = 61266
	ZIP.360 = 81272
	ZIP.361 = 92552
	ZIP.362 = 16561
	ZIP.363 = 87533
	ZIP.364 = 50843
	ZIP.365 = 31396
	ZIP.366 = 82331
	ZIP.367 = 24346
	ZIP.368 = 57886
	ZIP.369 = 95738
	ZIP.370 = 60005
	ZIP.371 = 99511
	ZIP.372 = 70965
	ZIP.373 = 79455
	ZIP.374 = 83983
	ZIP.375 = 95733
	ZIP.376 = 26339
	ZIP.377 = 18194
	ZIP.378 = 92971
	ZIP.379 = 52682
	ZIP.380 = 47040
	ZIP.381 = 11196
	ZIP.382 = 59341
	ZIP.383 = 59025
	ZIP.384 = 82497
	ZIP.385 = 87412
	ZIP.386 = 26546
	ZIP.387 = 53404
	ZIP.388 = 92058
	ZIP.389 = 41150
	ZIP.390 = 14626
	ZIP.391 = 97749
	ZIP.392 = 43977
	ZIP.393 = 24154
	ZIP.394 = 33887
	ZIP.395 = 70291
	ZIP.396 = 95709
	ZIP.397 = 94981
	ZIP.398 = 51813
	ZIP.399 = 84592
	ZIP.400 = 23102
	QOY.01 = 2
	YEAR.01 = 2000
	__LIMITC.01 = limit %d
	__LIMITB.01 = 

Template: query12.tpl
	__LIMITA.01 = 
	_LIMITC.01 = limit 100
	_LIMITB.01 = 
	_LIMITA.01 = 
	_END.01 = 
	_LIMIT.01 = 100
	CATEGORY.01 = Home
	CATEGORY.02 = Books
	CATEGORY.03 = Men
	SDATE.01 = 2000-05-01
	YEAR.01 = 2000
	__LIMITC.01 = limit %d
	__LIMITB.01 = 

Template: query20.tpl
	__LIMITA.01 = 
	_LIMITC.01 = limit 100
	_LIMITB.01 = 
	_LIMITA.01 = 
	_END.01 = 
	_LIMIT.01 = 100
	CATEGORY.01 = Music
	CATEGORY.02 = Shoes
	CATEGORY.03 = Jewelry
	SDATE.01 = 2001-02-26
	YEAR.01 = 2001
	__LIMITC.01 = limit %d
	__LIMITB.01 = 

Template: query88.tpl
	__LIMITA.01 = 
	_END.01 = 
	STORE.01 = Unknown
	HOUR.01 = 4
	HOUR.02 = -1
	HOUR.03 = 3
	__LIMITC.01 = limit %d
	__LIMITB.01 = 

Template: query82.tpl
	__LIMITA.01 = 
	_LIMITC.01 = limit 100
	_LIMITB.01 = 
	_LIMITA.01 = 
	_END.01 = 
	_LIMIT.01 = 100
	MANUFACT_ID.01 = 101
	MANUFACT_ID.02 = 153
	MANUFACT_ID.03 = 178
	MANUFACT_ID.04 = 206
	INVDATE.01 = 2000-05-29
	PRICE.01 = 30
	YEAR.01 = 2000
	__LIMITC.01 = limit %d
	__LIMITB.01 = 

Template: query23.tpl
	__LIMITA.01 = 
	_LIMITC.01 = limit 100
	_LIMITB.01 = 
	_LIMITA.01 = 
	_END.01 = 
	_LIMIT.01 = 100
	TOPPERCENT.01 = 95
	MONTH.01 = 7
	YEAR.01 = 1999
	__LIMITC.01 = limit %d
	__LIMITB.01 = 

Template: query14.tpl
	__LIMITA.01 = 
	_LIMITC.01 = limit 100
	_LIMITB.01 = 
	_LIMITA.01 = 
	_END.01 = 
	_LIMIT.01 = 100
	DAY.01 = 15
	YEAR.01 = 1999
	__LIMITC.01 = limit %d
	__LIMITB.01 = 

Template: query57.tpl
	__LIMITA.01 = 
	_LIMITC.01 = limit 100
	_LIMITB.01 = 
	_LIMITA.01 = 
	_END.01 = 
	_LIMIT.01 = 100
	ORDERBY.01 = sum_sales
	SELECTTWO.01 = ,v1.d_year
	SELECTONE.01 = v1.i_category
	YEAR.01 = 2000
	__LIMITC.01 = limit %d
	__LIMITB.01 = 

Template: query65.tpl
	__LIMITA.01 = 
	_LIMITC.01 = limit 100
	_LIMITB.01 = 
	_LIMITA.01 = 
	_END.01 = 
	_LIMIT.01 = 100
	DMS.01 = 1214
	__LIMITC.01 = limit %d
	__LIMITB.01 = 

Template: query71.tpl
	__LIMITA.01 = 
	_END.01 = 
	MONTH.01 = 11
	YEAR.01 = 1998
	__LIMITC.01 = limit %d
	__LIMITB.01 = 

Template: query34.tpl
	__LIMITA.01 = 
	_END.01 = 
	COUNTY_H.01 = Williamson County
	COUNTY_G.01 = Williamson County
	COUNTY_F.01 = Williamson County
	COUNTY_E.01 = Williamson County
	COUNTY_D.01 = Williamson County
	COUNTY_C.01 = Williamson County
	COUNTY_B.01 = Williamson County
	COUNTY_A.01 = Williamson County
	COUNTYNUMBER.01 = 1
	COUNTYNUMBER.02 = 1
	COUNTYNUMBER.03 = 1
	COUNTYNUMBER.04 = 1
	COUNTYNUMBER.05 = 1
	COUNTYNUMBER.06 = 1
	COUNTYNUMBER.07 = 1
	COUNTYNUMBER.08 = 1
	YEAR.01 = 2000
	BPTWO.01 = 5001-10000
	BPONE.01 = >10000
	__LIMITC.01 = limit %d
	__LIMITB.01 = 

Template: query48.tpl
	__LIMITA.01 = 
	_END.01 = 
	YEAR.01 = 2000
	STATE.01 = OR
	STATE.02 = SD
	STATE.03 = FL
	STATE.04 = CO
	STATE.05 = MI
	STATE.06 = KY
	STATE.07 = AR
	STATE.08 = GA
	STATE.09 = MN
	ES.01 = Secondary
	ES.02 = 4 yr Degree
	ES.03 = Primary
	MS.01 = D
	MS.02 = M
	MS.03 = W
	__LIMITC.01 = limit %d
	__LIMITB.01 = 

Template: query30.tpl
	__LIMITA.01 = 
	_LIMITC.01 = limit 100
	_LIMITB.01 = 
	_LIMITA.01 = 
	_END.01 = 
	_LIMIT.01 = 100
	YEAR.01 = 2002
	STATE.01 = MN
	__LIMITC.01 = limit %d
	__LIMITB.01 = 

Template: query74.tpl
	__LIMITA.01 = 
	_LIMITC.01 = limit 100
	_LIMITB.01 = 
	_LIMITA.01 = 
	_END.01 = 
	_LIMIT.01 = 100
	ORDERC.01 = 2
	ORDERC.02 = 1
	ORDERC.03 = 3
	AGGONE.01 = max
	YEAR.01 = 2001
	__LIMITC.01 = limit %d
	__LIMITB.01 = 

Template: query87.tpl
	__LIMITA.01 = 
	_END.01 = 
	DMS.01 = 1197
	__LIMITC.01 = limit %d
	__LIMITB.01 = 

Template: query77.tpl
	__LIMITA.01 = 
	_LIMITC.01 = limit 100
	_LIMITB.01 = 
	_LIMITA.01 = 
	_END.01 = 
	_LIMIT.01 = 100
	SALES_DATE.01 = 1998-08-20
	YEAR.01 = 1998
	__LIMITC.01 = limit %d
	__LIMITB.01 = 

Template: query73.tpl
	__LIMITA.01 = 
	_END.01 = 
	COUNTY_D.01 = Williamson County
	COUNTY_C.01 = Williamson County
	COUNTY_B.01 = Williamson County
	COUNTY_A.01 = Williamson County
	COUNTYNUMBER.01 = 1
	COUNTYNUMBER.02 = 1
	COUNTYNUMBER.03 = 1
	COUNTYNUMBER.04 = 1
	COUNTYNUMBER.05 = 1
	COUNTYNUMBER.06 = 1
	COUNTYNUMBER.07 = 1
	COUNTYNUMBER.08 = 1
	YEAR.01 = 1998
	BPTWO.01 = Unknown
	BPONE.01 = 501-1000
	__LIMITC.01 = limit %d
	__LIMITB.01 = 

Template: query84.tpl
	__LIMITA.01 = 
	_LIMITC.01 = limit 100
	_LIMITB.01 = 
	_LIMITA.01 = 
	_END.01 = 
	_LIMIT.01 = 100
	INCOME.01 = 65353
	CITY.01 = Hillcrest
	__LIMITC.01 = limit %d
	__LIMITB.01 = 

Template: query54.tpl
	__LIMITA.01 = 
	_LIMITC.01 = limit 100
	_LIMITB.01 = 
	_LIMITA.01 = 
	_END.01 = 
	_LIMIT.01 = 100
	CLASS.01 = rock
	CATEGORY.01 = Music
	CINDX.01 = 5
	MONTH.01 = 4
	YEAR.01 = 1999
	__LIMITC.01 = limit %d
	__LIMITB.01 = 

Template: query55.tpl
	__LIMITA.01 = 
	_LIMITC.01 = limit 100
	_LIMITB.01 = 
	_LIMITA.01 = 
	_END.01 = 
	_LIMIT.01 = 100
	MANAGER.01 = 56
	MONTH.01 = 11
	YEAR.01 = 1998
	__LIMITC.01 = limit %d
	__LIMITB.01 = 

Template: query56.tpl
	__LIMITA.01 = 
	_LIMITC.01 = limit 100
	_LIMITB.01 = 
	_LIMITA.01 = 
	_END.01 = 
	_LIMIT.01 = 100
	COLOR.01 = pink
	COLOR.02 = maroon
	COLOR.03 = grey
	GMT.01 = -5
	MONTH.01 = 6
	YEAR.01 = 2000
	__LIMITC.01 = limit %d
	__LIMITB.01 = 

Template: query2.tpl
	__LIMITA.01 = 
	_END.01 = 
	YEAR.01 = 2001
	__LIMITC.01 = limit %d
	__LIMITB.01 = 

Template: query26.tpl
	__LIMITA.01 = 
	_LIMITC.01 = limit 100
	_LIMITB.01 = 
	_LIMITA.01 = 
	_END.01 = 
	_LIMIT.01 = 100
	YEAR.01 = 1998
	ES.01 = 4 yr Degree
	MS.01 = U
	GEN.01 = F
	__LIMITC.01 = limit %d
	__LIMITB.01 = 

Template: query40.tpl
	__LIMITA.01 = 
	_LIMITC.01 = limit 100
	_LIMITB.01 = 
	_LIMITA.01 = 
	_END.01 = 
	_LIMIT.01 = 100
	SALES_DATE.01 = 1999-03-30
	YEAR.01 = 1999
	__LIMITC.01 = limit %d
	__LIMITB.01 = 

Template: query72.tpl
	__LIMITA.01 = 
	_LIMITC.01 = limit 100
	_LIMITB.01 = 
	_LIMITA.01 = 
	_END.01 = 
	MS.01 = S
	BP.01 = 501-1000
	_LIMIT.01 = 100
	YEAR.01 = 1999
	__LIMITC.01 = limit %d
	__LIMITB.01 = 

Template: query53.tpl
	__LIMITA.01 = 
	_LIMITC.01 = limit 100
	_LIMITB.01 = 
	_LIMITA.01 = 
	_END.01 = 
	_LIMIT.01 = 100
	DMS.01 = 1176
	__LIMITC.01 = limit %d
	__LIMITB.01 = 

Template: query79.tpl
	__LIMITA.01 = 
	_LIMITC.01 = limit 100
	_LIMITB.01 = 
	_LIMITA.01 = 
	_END.01 = 
	_LIMIT.01 = 100
	VEHCNT.01 = -1
	YEAR.01 = 2000
	DEPCNT.01 = 7
	__LIMITC.01 = limit %d
	__LIMITB.01 = 

Template: query18.tpl
	__LIMITA.01 = 
	_LIMITC.01 = limit 100
	_LIMITB.01 = 
	_LIMITA.01 = 
	_END.01 = 
	_LIMIT.01 = 100
	MONTH.01 = 1
	MONTH.02 = 11
	MONTH.03 = 2
	MONTH.04 = 9
	MONTH.05 = 5
	MONTH.06 = 3
	STATE.01 = MN
	STATE.02 = MO
	STATE.03 = MI
	STATE.04 = MS
	STATE.05 = NY
	STATE.06 = AK
	STATE.07 = IL
	ES.01 = Primary
	GEN.01 = F
	YEAR.01 = 1999
	__LIMITC.01 = limit %d
	__LIMITB.01 = 

Template: query13.tpl
	__LIMITA.01 = 
	_END.01 = 
	_LIMIT.01 = 100
	STATE.01 = MT
	STATE.02 = CA
	STATE.03 = MN
	STATE.04 = GA
	STATE.05 = VA
	STATE.06 = NE
	STATE.07 = NC
	STATE.08 = MI
	STATE.09 = IN
	ES.01 = Unknown
	ES.02 = 4 yr Degree
	ES.03 = College
	MS.01 = U
	MS.02 = M
	MS.03 = W
	__LIMITC.01 = limit %d
	__LIMITB.01 = 

Template: query24.tpl
	__LIMITA.01 = 
	_END.01 = 
	COLOR.01 = navy
	COLOR.02 = chiffon
	AMOUNTONE.01 = ss_ext_sales_price
	MARKET.01 = 8
	__LIMITC.01 = limit %d
	__LIMITB.01 = 

Template: query4.tpl
	__LIMITA.01 = 
	_LIMITC.01 = limit 100
	_LIMITB.01 = 
	_LIMITA.01 = 
	_END.01 = 
	_LIMIT.01 = 100
	SELECTONE.01 = t_s_secyear.customer_preferred_cust_flag
	YEAR.01 = 2000
	__LIMITC.01 = limit %d
	__LIMITB.01 = 

Template: query99.tpl
	__LIMITA.01 = 
	_LIMITC.01 = limit 100
	_LIMITB.01 = 
	_LIMITA.01 = 
	_END.01 = 
	_LIMIT.01 = 100
	DMS.01 = 1178
	__LIMITC.01 = limit %d
	__LIMITB.01 = 

Template: query68.tpl
	__LIMITA.01 = 
	_LIMITC.01 = limit 100
	_LIMITB.01 = 
	_LIMITA.01 = 
	_END.01 = 
	_LIMIT.01 = 100
	CITY_B.01 = Midway
	CITY_A.01 = Fairview
	CITYNUMBER.01 = 2
	CITYNUMBER.02 = 1
	VEHCNT.01 = 3
	YEAR.01 = 1998
	DEPCNT.01 = 0
	__LIMITC.01 = limit %d
	__LIMITB.01 = 

Template: query83.tpl
	__LIMITA.01 = 
	_LIMITC.01 = limit 100
	_LIMITB.01 = 
	_LIMITA.01 = 
	_END.01 = 
	_LIMIT.01 = 100
	RETURNED_DATE_THREE.01 = 1999-11-08
	RETURNED_DATE_TWO.01 = 1999-10-13
	RETURNED_DATE_ONE.01 = 1999-05-05
	YEAR.01 = 1999
	__LIMITC.01 = limit %d
	__LIMITB.01 = 

Template: query61.tpl
	__LIMITA.01 = 
	_LIMITC.01 = limit 100
	_LIMITB.01 = 
	_LIMITA.01 = 
	_END.01 = 
	_LIMIT.01 = 100
	CATEGORY.01 = Home
	GMT.01 = -6
	MONTH.01 = 12
	YEAR.01 = 2001
	__LIMITC.01 = limit %d
	__LIMITB.01 = 

Template: query5.tpl
	__LIMITA.01 = 
	_LIMITC.01 = limit 100
	_LIMITB.01 = 
	_LIMITA.01 = 
	_END.01 = 
	_LIMIT.01 = 100
	SALES_DATE.01 = 1999-08-28
	YEAR.01 = 1999
	__LIMITC.01 = limit %d
	__LIMITB.01 = 

Template: query76.tpl
	__LIMITA.01 = 
	_LIMITC.01 = limit 100
	_LIMITB.01 = 
	_LIMITA.01 = 
	_END.01 = 
	_LIMIT.01 = 100
	NULLCOLWS.01 = ws_ship_addr_sk
	NULLCOLSS.01 = ss_addr_sk
	NULLCOLCS.01 = cs_ship_customer_sk
	__LIMITC.01 = limit %d
	__LIMITB.01 = 

END STREAM 0
